통계표명:	독서인구																				
단위:	%																				
	2009			2011			2013			2015			2017			2019			2021		
	-?1인당평균독서권수	독서인구	-?독서인구1인당?평균독서권수	-?1인당평균독서권수	독서인구	-?독서인구1인당?평균독서권수	-?1인당평균독서권수	독서인구	-?독서인구1인당?평균독서권수	-?1인당평균독서권수	독서인구	-?독서인구1인당?평균독서권수	-?1인당평균독서권수	독서인구	-?독서인구1인당?평균독서권수	-?1인당평균독서권수	독서인구	-?독서인구1인당?평균독서권수	-?1인당평균독서권수	독서인구	-?독서인구1인당?평균독서권수
계	10.8	62.1	17.4	12.8	61.8	20.8	11.2	62.4	17.9	9.3	56.2	16.5	9.5	54.9	17.3	7.3	50.6	14.4	7	45.6	15.2
남자	11.9	62.4	19	14.4	60.9	23.6	12.7	61.5	20.7	10.4	55.1	18.9	10.5	53.3	19.8	7.7	48.5	15.9	7.4	42.9	17.1
여자	9.8	61.7	15.9	11.3	62.6	18.1	9.6	63.3	15.2	8.2	57.3	14.2	8.5	56.5	15.1	6.9	52.7	13	6.6	48.3	13.6
13(15)~19세	17.8	78.3	22.7	22.2	80.1	27.7	20	80.9	24.7	15	74.2	20.2	15.7	73.8	21.3	13.1	70.9	18.4	13.1	67.3	19.5
20~29세	17.9	81.6	21.9	18.8	76.9	24.5	17.2	79.8	21.6	14	73.8	18.9	14.5	70.4	20.6	9.8	66	14.9	8.8	57.7	15.3
30~39세	14.5	78.9	18.4	16.6	75.8	21.9	14.5	75.8	19.2	13.1	68.5	19.1	12.4	67.9	18.3	9.9	63.2	15.6	9.8	55.1	17.8
40~49세	10.4	67.6	15.4	13	68	19.2	11.7	69.5	16.8	9.6	63.2	15.2	11.7	63.3	18.4	9.2	59	15.7	9	55.1	16.3
50~59세	5.8	48.7	11.9	7.7	51.9	14.7	6.2	52.4	11.7	5.9	47.1	12.6	6	47.8	12.5	5.2	43.6	11.9	5.3	41.9	12.8
60세이상	2.2	23.9	9	3	26.6	11.2	2.7	28.9	9.5	2.8	27.1	10.4	3	27.4	10.9	2.4	26.1	9.2	2.5	24.6	10.3
